Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
196311,0.42
196312,0.08
196401,0.13
196402,-0.35
196403,-0.34
196404,-0.38
196405,-0.10
196406,-0.14
196407,-0.16
196408,-0.22
196409,-0.33
196410,-0.53
196411,-0.18
196412,-0.37
196501,0.11
196502,-0.42
196503,-0.10
196504,-0.40
196505,-0.06
196506,-0.07
196507,-0.16
196508,-0.18
196509,-0.20
196510,0.11
196511,-0.31
196512,-0.03
196601,-0.16
196602,-0.11
196603,0.07
196604,-0.32
196605,-0.03
196606,0.17
196607,0.15
196608,0.06
196609,0.09
196610,-0.17
196611,-0.20
196612,-0.50
196701,-0.25
196702,-0.42
196703,0.08
196704,0.13
196705,0.31
196706,-0.19
196707,-0.13
196708,-0.16
196709,-0.14
196710,0.50
196711,0.06
196712,0.09
196801,-0.35
196802,-0.08
196803,0.89
196804,-0.04
196805,-0.23
196806,-0.21
196807,-0.18
196808,-0.19
196809,-0.23
196810,-0.14
196811,-0.21
196812,-0.51
196901,-1.10
196902,-0.96
196903,-0.11
196904,0.09
196905,0.00
196906,-0.05
196907,0.08
196908,-0.02
196909,-0.09
196910,-0.03
196911,0.40
196912,0.47
197001,0.01
197002,0.53
197003,-0.18
197004,0.19
197005,-0.01
197006,0.13
197007,0.05
197008,-0.06
197009,-0.03
197010,-0.23
197011,-0.03
197012,-0.24
197101,0.08
197102,-0.42
197103,-0.17
197104,-0.19
197105,-0.09
197106,-0.18
197107,-0.12
197108,-0.10
197109,0.07
197110,-0.02
197111,0.39
197112,0.21
197201,-0.89
197202,-0.75
197203,-0.03
197204,-0.00
197205,-0.08
197206,0.07
197207,-0.10
197208,0.03
197209,-0.22
197210,-0.06
197211,-0.23
197212,0.16
197301,0.26
197302,0.73
197303,0.69
197304,0.45
197305,0.33
197306,0.43
197307,0.18
197308,0.09
197309,0.02
197310,0.08
197311,-0.01
197312,0.27
197401,-0.64
197402,-0.72
197403,0.05
197404,0.07
197405,-0.07
197406,-0.10
197407,0.04
197408,-0.12
197409,-0.20
197410,-0.33
197411,-0.22
197412,-0.34
197501,0.36
197502,0.05
197503,0.39
197504,0.29
197505,0.24
197506,0.19
197507,0.08
197508,-0.12
197509,0.18
197510,-0.14
197511,-0.14
197512,0.09
197601,0.25
197602,-0.22
197603,-0.68
197604,0.09
197605,-0.19
197606,-0.26
197607,-0.25
197608,-0.26
197609,-0.08
197610,-0.83
197611,-0.45
197612,-0.19
197701,-0.55
197702,0.24
197703,0.57
197704,0.55
197705,0.38
197706,0.39
197707,0.16
197708,0.02
197709,0.13
197710,-0.08
197711,0.55
197712,0.03
197801,0.11
197802,0.10
197803,0.45
197804,0.27
197805,0.01
197806,-0.10
197807,-0.09
197808,-0.25
197809,-0.01
197810,0.03
197811,0.37
197812,0.02
197901,-0.08
197902,-0.17
197903,0.27
197904,-0.22
197905,0.06
197906,0.11
197907,0.04
197908,0.12
197909,0.15
197910,0.31
197911,0.23
197912,0.92
198001,0.16
198002,0.37
198003,-0.02
198004,0.42
198005,0.41
198006,0.23
198007,0.18
198008,0.16
198009,0.16
198010,0.20
198011,0.64
198012,0.33
198101,1.10
198102,0.81
198103,0.88
198104,0.71
198105,0.31
198106,0.27
198107,0.19
198108,0.35
198109,0.16
198110,0.06
198111,0.24
198112,0.84
198201,-0.15
198202,0.11
198203,-0.17
198204,0.28
198205,0.11
198206,-0.06
198207,0.16
198208,0.09
198209,0.21
198210,-0.06
198211,-0.19
198212,0.72
198301,0.85
198302,0.82
198303,0.64
198304,0.25
198305,0.26
198306,0.15
198307,0.33
198308,0.49
198309,0.47
198310,0.23
198311,1.00
198312,0.35
198401,0.36
198402,-0.06
198403,0.38
198404,0.07
198405,0.56
198406,0.11
198407,0.04
198408,0.14
198409,-0.12
198410,0.05
198411,-0.24
198412,-0.73
198501,0.23
198502,-0.42
198503,0.26
198504,0.25
198505,0.27
198506,0.10
198507,-0.13
198508,0.15
198509,-0.09
198510,0.04
198511,-0.03
198512,0.18
198601,0.75
198602,0.48
198603,0.60
198604,0.47
198605,0.38
198606,0.32
198607,0.06
198608,0.11
198609,0.01
198610,0.04
198611,-0.04
198612,0.15
198701,0.43
198702,1.11
198703,0.06
198704,0.26
198705,0.38
198706,0.28
198707,0.55
198708,0.32
198709,0.43
198710,0.14
198711,0.04
198712,0.90
198801,0.80
198802,0.27
198803,0.70
198804,0.64
198805,0.50
198806,0.63
198807,0.48
198808,0.43
198809,0.46
198810,0.43
198811,0.38
198812,0.85
198901,0.28
198902,0.53
198903,0.67
198904,0.37
198905,0.36
198906,0.27
198907,0.28
198908,0.26
198909,0.27
198910,0.39
198911,0.16
198912,0.74
199001,0.53
199002,0.55
199003,1.65
199004,0.75
199005,0.51
199006,0.52
199007,0.19
199008,0.30
199009,0.22
199010,0.51
199011,0.70
199012,0.62
199101,0.68
199102,0.78
199103,0.39
199104,0.79
199105,0.46
199106,0.63
199107,0.48
199108,0.39
199109,0.52
199110,0.44
199111,0.41
199112,0.35
199201,0.98
199202,0.82
199203,0.74
199204,0.20
199205,0.30
199206,0.17
199207,-0.16
199208,-0.05
199209,-0.28
199210,-0.04
199211,-0.10
199212,0.50
199301,0.69
199302,0.71
199303,0.83
199304,0.39
199305,0.39
199306,0.26
199307,0.18
199308,0.16
199309,-0.03
199310,0.25
199311,-0.28
199312,0.49
199401,0.41
199402,-0.34
199403,0.65
199404,0.58
199405,0.57
199406,0.59
199407,0.31
199408,0.27
199409,0.41
199410,0.64
199411,0.70
199412,0.49
199501,1.05
199502,1.54
199503,0.76
199504,0.58
199505,0.41
199506,0.72
199507,0.52
199508,0.82
199509,0.61
199510,0.77
199511,0.79
199512,0.53
199601,0.21
199602,0.79
199603,0.28
199604,0.11
199605,0.56
199606,0.38
199607,0.39
199608,0.28
199609,0.16
199610,0.13
199611,0.25
199612,0.62
199701,0.65
199702,0.76
199703,0.77
199704,0.72
199705,0.43
199706,0.64
199707,0.55
199708,0.59
199709,0.78
199710,0.85
199711,0.63
199712,0.74
199801,0.72
199802,1.69
199803,0.88
199804,1.20
199805,0.91
199806,0.86
199807,1.10
199808,1.02
199809,0.76
199810,0.72
199811,0.34
199812,1.12
199901,0.99
199902,1.64
199903,0.36
199904,0.76
199905,0.63
199906,0.62
199907,0.64
199908,0.51
199909,0.66
199910,0.65
199911,0.62
199912,1.34
200001,0.49
200002,1.07
200003,1.12
200004,1.34
200005,0.77
200006,0.60
200007,0.50
200008,0.67
200009,0.53
200010,0.17
200011,0.02
200012,0.24
200101,0.77
200102,0.47
200103,1.17
200104,0.92
200105,0.97
200106,0.70
200107,0.74
200108,0.92
200109,0.59
200110,0.55
200111,1.30
200112,0.68
200201,1.43
200202,1.69
200203,1.51
200204,0.76
200205,0.71
200206,0.80
200207,0.98
200208,0.73
200209,0.79
200210,0.48
200211,0.97
200212,0.33
200301,1.28
200302,0.86
200303,0.77
200304,0.80
200305,0.90
200306,0.67
200307,0.57
200308,0.76
200309,0.80
200310,1.11
200311,0.71
200312,1.40
200401,0.89
200402,1.31
200403,1.26
200404,0.88
200405,0.47
200406,0.55
200407,0.44
200408,0.48
200409,0.58
200410,0.84
200411,1.41
200412,0.59
200501,1.00
200502,0.63
200503,1.25
200504,1.34
200505,0.99
200506,1.00
200507,0.91
200508,0.74
200509,1.07
200510,1.15
200511,1.38
200512,1.09
200601,0.55
200602,1.12
200603,1.07
200604,0.69
200605,0.70
200606,0.98
200607,0.87
200608,0.83
200609,0.82
200610,1.04
200611,0.85
200612,1.39
200701,1.86
200702,1.13
200703,1.27
200704,1.50
200705,1.07
200706,0.74
200707,0.72
200708,0.85
200709,0.95
200710,0.99
200711,1.05
200712,0.99
200801,0.19
200802,0.57
200803,1.92
200804,0.79
200805,0.75
200806,0.76
200807,0.79
200808,0.68
200809,0.58
200810,1.12
200811,1.29
200812,0.86
200901,1.04
